epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.15481,1.99285,4.42968,1.32663,0.00309,0.74242,0.2092,0.11574,2.06407,3.98058,1.23532,8.574e-05,8.574e-05,8.574e-05
2,18.0655,2.04684,3.83563,1.26376,0.00294,0.8,0.34073,0.18459,1.79438,3.80913,1.15388,0.000183931,0.000183931,0.000183931
3,26.7929,1.91905,3.04312,1.18887,0.00318,0.83333,0.3249,0.18353,1.7182,3.75799,1.1474,0.000280141,0.000280141,0.000280141
4,35.7684,1.78878,2.91052,1.12933,0.00322,0.8,0.30648,0.17925,1.84632,3.77437,1.21734,0.000374371,0.000374371,0.000374371
5,44.5433,1.92056,2.83609,1.29461,0.00362,0.8,0.27145,0.16793,1.85191,3.78351,1.22604,0.00046662,0.00046662,0.00046662
6,53.17,1.82047,2.34326,1.22905,0.00346,0.83333,0.27797,0.185,1.68154,3.66659,1.17392,0.000556888,0.000556888,0.000556888
7,61.7978,1.737,2.11748,1.24359,0.0039,0.9,0.21955,0.11025,1.72272,3.55732,1.22976,0.000645176,0.000645176,0.000645176
8,70.027,1.93196,2.16815,1.25334,0.0036,0.88333,0.21888,0.12298,1.72678,3.56232,1.30459,0.000731484,0.000731484,0.000731484
9,78.5702,1.69715,2.16692,1.26361,0.00363,0.9,0.35276,0.19661,1.79753,3.35276,1.39945,0.00081581,0.00081581,0.00081581
10,87.0704,1.75488,1.92676,1.33049,0.0097,0.86667,0.65116,0.35848,1.65579,3.13871,1.35814,0.000898157,0.000898157,0.000898157
11,95.4902,1.65241,1.67098,1.27371,0.92626,0.25284,0.72701,0.40614,1.61003,2.48405,1.29559,0.000978522,0.000978522,0.000978522
12,104.377,1.78383,2.15485,1.35134,0.54665,0.73939,0.72395,0.2891,1.96373,2.96142,1.53061,0.00105691,0.00105691,0.00105691
13,114.018,1.77286,2.06095,1.25279,1,0.33244,0.76608,0.30399,2.05026,2.72231,1.62978,0.00113331,0.00113331,0.00113331
14,124.137,1.80378,1.96495,1.30557,0.55998,0.24888,0.61143,0.27419,1.87469,2.76852,1.539,0.00120774,0.00120774,0.00120774
15,133.845,1.63254,1.82677,1.19441,0.6918,0.39971,0.62531,0.31626,1.88718,2.62062,1.52454,0.00123094,0.00123094,0.00123094
16,143.744,1.51442,1.75963,1.19468,0.77838,0.63205,0.80291,0.3711,1.85272,2.01966,1.4497,0.00121679,0.00121679,0.00121679
17,153.482,1.7052,1.93944,1.21365,0.826,0.67583,0.82643,0.37139,1.9896,2.2538,1.56876,0.00120265,0.00120265,0.00120265
18,163.331,1.56716,1.76417,1.18234,0.63886,0.65409,0.71037,0.35377,2.00874,2.22669,1.53812,0.0011885,0.0011885,0.0011885
19,174.816,1.69729,1.75282,1.23831,0.65644,0.73285,0.80824,0.38912,1.83639,1.81903,1.48894,0.00117435,0.00117435,0.00117435
20,284.026,1.64741,1.84906,1.22396,0.88312,0.65551,0.87874,0.40478,1.90084,1.98901,1.55018,0.00116021,0.00116021,0.00116021
21,292.316,1.47425,1.63883,1.19196,0.80382,0.47829,0.802,0.37614,1.89092,2.22371,1.55169,0.00114606,0.00114606,0.00114606
22,300.703,1.56268,1.58528,1.21957,0.82357,0.76212,0.86565,0.41961,1.77275,1.67687,1.5222,0.00113191,0.00113191,0.00113191
23,309.168,1.40693,1.43466,1.16881,0.77316,0.70975,0.79013,0.38899,1.69034,1.71593,1.39651,0.00111776,0.00111776,0.00111776
24,317.782,1.37221,1.4757,1.16304,0.94816,0.65755,0.84904,0.40247,1.62108,1.80832,1.38985,0.00110362,0.00110362,0.00110362
25,326.116,1.4347,1.54402,1.18473,0.9448,0.69242,0.87888,0.46038,1.57002,1.84681,1.35931,0.00108947,0.00108947,0.00108947
26,334.607,1.66069,1.55715,1.20237,0.74534,0.78598,0.86669,0.37921,1.78124,1.99216,1.44326,0.00107532,0.00107532,0.00107532
27,343.337,1.60011,1.56622,1.25913,0.72354,0.76231,0.84713,0.31585,2.09304,1.76826,1.61405,0.00106118,0.00106118,0.00106118
28,352.773,1.46713,1.64441,1.13744,0.74848,0.76515,0.84569,0.40369,1.90211,1.45758,1.5014,0.00104703,0.00104703,0.00104703
29,363.618,1.53815,1.56166,1.22686,0.8879,0.86341,0.90364,0.43067,1.8444,1.35782,1.47797,0.00103288,0.00103288,0.00103288
30,373.443,1.51891,1.42105,1.23414,0.79622,0.8932,0.91085,0.43538,1.79115,1.3466,1.48166,0.00101873,0.00101873,0.00101873
31,383.336,1.38509,1.41674,1.14079,0.83326,0.89989,0.90755,0.47369,1.67514,1.12649,1.35086,0.00100459,0.00100459,0.00100459
32,393.196,1.38474,1.48511,1.23983,0.86689,0.8697,0.88788,0.50937,1.51587,1.10819,1.26389,0.00099044,0.00099044,0.00099044
33,402.845,1.8183,2.40043,1.25534,0.86855,0.83593,0.89928,0.48563,1.6201,1.09672,1.30476,0.000976293,0.000976293,0.000976293
34,412.882,1.45168,1.30616,1.15094,0.86925,0.86824,0.90344,0.49286,1.71536,1.22451,1.36059,0.000962146,0.000962146,0.000962146
35,423.199,1.40738,1.26555,1.1633,0.89326,0.9,0.92858,0.50605,1.65134,1.23505,1.35601,0.000947999,0.000947999,0.000947999
36,432.962,1.4673,1.21749,1.1812,0.8506,0.92213,0.91116,0.48455,1.56116,1.08716,1.31353,0.000933851,0.000933851,0.000933851
37,442.712,1.35164,1.24172,1.08266,0.85456,0.91536,0.90003,0.48018,1.62767,1.08241,1.33039,0.000919704,0.000919704,0.000919704
38,452.468,1.51929,1.29552,1.20955,0.87585,0.85,0.87833,0.4644,1.71653,1.06598,1.38659,0.000905557,0.000905557,0.000905557
39,462.263,1.25355,1.18315,1.07901,0.82748,0.91667,0.90286,0.42469,1.79649,1.11386,1.43092,0.00089141,0.00089141,0.00089141
40,475.08,1.2949,1.13467,1.05198,0.82977,0.83288,0.9012,0.46254,1.65162,1.26669,1.35983,0.000877263,0.000877263,0.000877263
